condition,condition_label,fold,patient_id,structure,present,dice,iou,sensitivity,precision,hd95,assd,cldice,cc_error,centerline_overlap,n_components_pred,n_components_gt
cldice,+clDice (connectivity-aware vessel),1,11,vessel,1,0.015532737267286356,0.007827157221982578,1.0,0.007827157221982578,174.85136545077364,105.59102649601621,1.0,16.0,1.0,1.0,17.0
cldice,+clDice (connectivity-aware vessel),1,12,liver,1,0.8896011951217145,0.8011546763320109,0.9207195017557911,0.860517581791974,75.9012516365837,7.79961670525952,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),1,12,tumour,1,0.019901506218553754,0.010050765798294873,0.0115622345800708,0.0713957583645969,164.35936237403698,69.62402914040932,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),1,12,vessel,1,0.012815484153380132,0.0064490660284358264,1.0,0.0064490660284358264,178.39843048636948,114.57101217988252,1.0,16.0,1.0,1.0,17.0
cldice,+clDice (connectivity-aware vessel),2,06,liver,1,0.8373336846642617,0.7201840060382831,0.8172032250526347,0.858480953334598,126.24579200908045,15.320719685229264,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),2,06,tumour,1,0.2857125590727244,0.16666549159234323,0.16673916161357294,0.9973560227832079,26.551836094703507,8.013711003647028,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),2,06,vessel,1,0.022372313761733688,0.011312702546296296,1.0,0.011312702546296296,182.50986274457347,105.82637480610711,1.0,12.0,1.0,1.0,13.0
cldice,+clDice (connectivity-aware vessel),2,13,liver,1,0.8594359307034467,0.7535183282018577,0.9554400526893996,0.7809634887824664,120.76423311560423,16.469259533596095,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),2,13,tumour,1,0.40118889826083465,0.2509295174548305,0.2825796668477277,0.6913918653265775,34.688614218172944,7.649825388529108,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),2,13,vessel,1,0.02180839586463971,0.011024410284145277,1.0,0.011024410284145277,141.4142849927121,85.28414846834518,0.0,32.0,1.0,1.0,33.0
cldice,+clDice (connectivity-aware vessel),2,16,liver,1,0.8332044424516796,0.7140963445236412,0.8655536102801197,0.8031861921450606,133.03664899629945,19.7009301626482,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),2,16,tumour,1,0.0,0.0,0.0,0.0,161.5735126807609,79.14267251040455,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),2,16,vessel,1,0.010133368118520116,0.005092486077289866,1.0,0.005092486077289866,180.22208521710095,114.29759863925013,1.0,32.0,1.0,1.0,33.0
cldice,+clDice (connectivity-aware vessel),2,20,liver,1,0.8833597126266244,0.791087087413363,0.9825746747441305,0.8023434989026328,253.000592315758,30.153777097526007,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),2,20,tumour,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),2,20,vessel,1,0.00994721928141679,0.0049984700796855104,1.0,0.0049984700796855104,200.3471986327735,135.57206087045992,0.0,4.0,1.0,1.0,5.0
cldice,+clDice (connectivity-aware vessel),3,07,liver,1,0.7177171680770046,0.5597183009934469,0.8832185818379965,0.6044522293938862,56.00892785976178,12.673652671879802,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),3,07,tumour,1,0.06280549979093361,0.03242085386065029,0.03838876301048012,0.1725609018717332,141.6368596093545,60.35505606457995,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),3,07,vessel,1,0.01620095720353194,0.00816663223140496,1.0,0.00816663223140496,189.40168953839878,109.72690237905216,0.0,16.0,1.0,1.0,17.0
cldice,+clDice (connectivity-aware vessel),3,08,liver,1,0.8657926300201242,0.7633459744098523,0.8516866710342526,0.8803737147486229,86.90799733051038,8.021824759681666,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),3,08,tumour,1,0.006985463162734765,0.003504973513048262,0.03881300972781763,0.0038381188359325655,133.81330277666717,65.32614410365791,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),3,08,vessel,1,0.033948821503930006,0.017267516672632675,1.0,0.017267516672632675,126.90941651429968,75.05451224110611,0.0,50.0,1.0,1.0,51.0
cldice,+clDice (connectivity-aware vessel),3,15,liver,1,0.8903927404594516,0.802439541381636,0.9188333633659034,0.8636599001861744,77.84600182411425,9.34692089410344,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),3,15,tumour,1,0.028731696656224957,0.01457523392806989,0.6078914919852034,0.014713563040007163,123.2801687214939,76.51177817847213,nan,nan,nan,nan,nan
cldice,+clDice (connectivity-aware vessel),3,15,vessel,1,0.007058314376773037,0.00354165625,1.0,0.00354165625,221.03393404633596,130.81010576942774,0.0,9.0,1.0,1.0,10.0
